2245
5.00 76.00 10.0 0.0 182 2006
5.00 76.00 20.0 0.0 182 2006
5.00 76.00 30.0 0.0 182 2006
5.00 76.00 40.0 0.0 182 2006
5.00 76.00 50.0 0.0 182 2006
5.00 76.00 60.0 0.0 182 2006
5.00 76.00 70.0 0.0 182 2006
5.00 76.00 80.0 0.0 182 2006
5.00 76.00 90.0 0.0 182 2006
5.00 76.00 100.0 0.0 182 2006
5.00 76.00 115.0 0.0 182 2006
5.00 76.00 135.0 0.0 182 2006
5.00 76.00 160.0 0.0 182 2006
5.08 76.00 10.0 0.0 182 2006
5.08 76.00 20.0 0.0 182 2006
5.08 76.00 30.0 0.0 182 2006
5.08 76.00 40.0 0.0 182 2006
5.08 76.00 50.0 0.0 182 2006
5.08 76.00 60.0 0.0 182 2006
5.08 76.00 70.0 0.0 182 2006
5.08 76.00 80.0 0.0 182 2006
5.08 76.00 90.0 0.0 182 2006
5.08 76.00 100.0 0.0 182 2006
5.08 76.00 115.0 0.0 182 2006
5.08 76.00 135.0 0.0 182 2006
5.08 76.00 160.0 0.0 182 2006
5.08 76.00 190.0 0.0 182 2006
5.08 76.00 230.0 0.0 182 2006
5.08 76.00 280.0 0.0 182 2006
5.08 76.00 340.0 0.0 182 2006
5.17 76.00 10.0 0.0 182 2006
5.17 76.00 20.0 0.0 182 2006
5.17 76.00 30.0 0.0 182 2006
5.17 76.00 40.0 0.0 182 2006
5.17 76.00 50.0 0.0 182 2006
5.17 76.00 60.0 0.0 182 2006
5.17 76.00 70.0 0.0 182 2006
5.17 76.00 80.0 0.0 182 2006
5.17 76.00 90.0 0.0 182 2006
5.17 76.00 100.0 0.0 182 2006
5.17 76.00 115.0 0.0 182 2006
5.17 76.00 135.0 0.0 182 2006
5.17 76.00 160.0 0.0 182 2006
5.17 76.00 190.0 0.0 182 2006
5.17 76.00 230.0 0.0 182 2006
5.17 76.00 280.0 0.0 182 2006
5.17 76.00 340.0 0.0 182 2006
5.25 76.00 10.0 0.0 182 2006
5.25 76.00 20.0 0.0 182 2006
5.25 76.00 30.0 0.0 182 2006
5.25 76.00 40.0 0.0 182 2006
5.25 76.00 50.0 0.0 182 2006
5.25 76.00 60.0 0.0 182 2006
5.25 76.00 70.0 0.0 182 2006
5.25 76.00 80.0 0.0 182 2006
5.25 76.00 90.0 0.0 182 2006
5.25 76.00 100.0 0.0 182 2006
5.25 76.00 115.0 0.0 182 2006
5.25 76.00 135.0 0.0 182 2006
5.25 76.00 160.0 0.0 182 2006
5.25 76.00 190.0 0.0 182 2006
5.25 76.00 230.0 0.0 182 2006
5.25 76.00 280.0 0.0 182 2006
5.25 76.00 340.0 0.0 182 2006
5.33 76.00 10.0 0.0 182 2006
5.33 76.00 20.0 0.0 182 2006
5.33 76.00 30.0 0.0 182 2006
5.33 76.00 40.0 0.0 182 2006
5.33 76.00 50.0 0.0 182 2006
5.33 76.00 60.0 0.0 182 2006
5.33 76.00 70.0 0.0 182 2006
5.33 76.00 80.0 0.0 182 2006
5.33 76.00 90.0 0.0 182 2006
5.33 76.00 100.0 0.0 182 2006
5.33 76.00 115.0 0.0 182 2006
5.33 76.00 135.0 0.0 182 2006
5.33 76.00 160.0 0.0 182 2006
5.33 76.00 190.0 0.0 182 2006
5.33 76.00 230.0 0.0 182 2006
5.33 76.00 280.0 0.0 182 2006
5.33 76.00 340.0 0.0 182 2006
5.42 76.00 10.0 0.0 182 2006
5.42 76.00 20.0 0.0 182 2006
5.42 76.00 30.0 0.0 182 2006
5.42 76.00 40.0 0.0 182 2006
5.42 76.00 50.0 0.0 182 2006
5.42 76.00 60.0 0.0 182 2006
5.42 76.00 70.0 0.0 182 2006
5.42 76.00 80.0 0.0 182 2006
5.42 76.00 90.0 0.0 182 2006
5.42 76.00 100.0 0.0 182 2006
5.42 76.00 115.0 0.0 182 2006
5.42 76.00 135.0 0.0 182 2006
5.42 76.00 160.0 0.0 182 2006
5.42 76.00 190.0 0.0 182 2006
5.42 76.00 230.0 0.0 182 2006
5.42 76.00 280.0 0.0 182 2006
5.42 76.00 340.0 0.0 182 2006
5.50 76.00 10.0 0.0 182 2006
5.50 76.00 20.0 0.0 182 2006
5.50 76.00 30.0 0.0 182 2006
5.50 76.00 40.0 0.0 182 2006
5.50 76.00 50.0 0.0 182 2006
5.50 76.00 60.0 0.0 182 2006
5.50 76.00 70.0 0.0 182 2006
5.50 76.00 80.0 0.0 182 2006
5.50 76.00 90.0 0.0 182 2006
5.50 76.00 100.0 0.0 182 2006
5.50 76.00 115.0 0.0 182 2006
5.50 76.00 135.0 0.0 182 2006
5.50 76.00 160.0 0.0 182 2006
5.50 76.00 190.0 0.0 182 2006
5.50 76.00 230.0 0.0 182 2006
5.50 76.00 280.0 0.0 182 2006
5.50 76.00 340.0 0.0 182 2006
5.58 76.00 10.0 0.0 182 2006
5.58 76.00 20.0 0.0 182 2006
5.58 76.00 30.0 0.0 182 2006
5.58 76.00 40.0 0.0 182 2006
5.58 76.00 50.0 0.0 182 2006
5.58 76.00 60.0 0.0 182 2006
5.58 76.00 70.0 0.0 182 2006
5.58 76.00 80.0 0.0 182 2006
5.58 76.00 90.0 0.0 182 2006
5.58 76.00 100.0 0.0 182 2006
5.58 76.00 115.0 0.0 182 2006
5.58 76.00 135.0 0.0 182 2006
5.58 76.00 160.0 0.0 182 2006
5.58 76.00 190.0 0.0 182 2006
5.58 76.00 230.0 0.0 182 2006
5.58 76.00 280.0 0.0 182 2006
5.58 76.00 340.0 0.0 182 2006
5.58 76.00 410.0 0.0 182 2006
5.67 76.00 10.0 0.0 182 2006
5.67 76.00 20.0 0.0 182 2006
5.67 76.00 30.0 0.0 182 2006
5.67 76.00 40.0 0.0 182 2006
5.67 76.00 50.0 0.0 182 2006
5.67 76.00 60.0 0.0 182 2006
5.67 76.00 70.0 0.0 182 2006
5.67 76.00 80.0 0.0 182 2006
5.67 76.00 90.0 0.0 182 2006
5.67 76.00 100.0 0.0 182 2006
5.67 76.00 115.0 0.0 182 2006
5.67 76.00 135.0 0.0 182 2006
5.67 76.00 160.0 0.0 182 2006
5.67 76.00 190.0 0.0 182 2006
5.67 76.00 230.0 0.0 182 2006
5.67 76.00 280.0 0.0 182 2006
5.67 76.00 340.0 0.0 182 2006
5.67 76.00 410.0 0.0 182 2006
5.75 76.00 10.0 0.0 182 2006
5.75 76.00 20.0 0.0 182 2006
5.75 76.00 30.0 0.0 182 2006
5.75 76.00 40.0 0.0 182 2006
5.75 76.00 50.0 0.0 182 2006
5.75 76.00 60.0 0.0 182 2006
5.75 76.00 70.0 0.0 182 2006
5.75 76.00 80.0 0.0 182 2006
5.75 76.00 90.0 0.0 182 2006
5.75 76.00 100.0 0.0 182 2006
5.75 76.00 115.0 0.0 182 2006
5.75 76.00 135.0 0.0 182 2006
5.75 76.00 160.0 0.0 182 2006
5.75 76.00 190.0 0.0 182 2006
5.75 76.00 230.0 0.0 182 2006
5.75 76.00 280.0 0.0 182 2006
5.75 76.00 340.0 0.0 182 2006
5.75 76.00 410.0 0.0 182 2006
5.83 76.00 10.0 0.0 182 2006
5.83 76.00 20.0 0.0 182 2006
5.83 76.00 30.0 0.0 182 2006
5.83 76.00 40.0 0.0 182 2006
5.83 76.00 50.0 0.0 182 2006
5.83 76.00 60.0 0.0 182 2006
5.83 76.00 70.0 0.0 182 2006
5.83 76.00 80.0 0.0 182 2006
5.83 76.00 90.0 0.0 182 2006
5.83 76.00 100.0 0.0 182 2006
5.83 76.00 115.0 0.0 182 2006
5.83 76.00 135.0 0.0 182 2006
5.83 76.00 160.0 0.0 182 2006
5.83 76.00 190.0 0.0 182 2006
5.83 76.00 230.0 0.0 182 2006
5.83 76.00 280.0 0.0 182 2006
5.83 76.00 340.0 0.0 182 2006
5.83 76.00 410.0 0.0 182 2006
5.92 76.00 10.0 0.0 182 2006
5.92 76.00 20.0 0.0 182 2006
5.92 76.00 30.0 0.0 182 2006
5.92 76.00 40.0 0.0 182 2006
5.92 76.00 50.0 0.0 182 2006
5.92 76.00 60.0 0.0 182 2006
5.92 76.00 70.0 0.0 182 2006
5.92 76.00 80.0 0.0 182 2006
5.92 76.00 90.0 0.0 182 2006
5.92 76.00 100.0 0.0 182 2006
5.92 76.00 115.0 0.0 182 2006
5.92 76.00 135.0 0.0 182 2006
5.92 76.00 160.0 0.0 182 2006
5.92 76.00 190.0 0.0 182 2006
5.92 76.00 230.0 0.0 182 2006
5.92 76.00 280.0 0.0 182 2006
5.92 76.00 340.0 0.0 182 2006
5.92 76.00 410.0 0.0 182 2006
6.00 76.00 10.0 0.0 182 2006
6.00 76.00 20.0 0.0 182 2006
6.00 76.00 30.0 0.0 182 2006
6.00 76.00 40.0 0.0 182 2006
6.00 76.00 50.0 0.0 182 2006
6.00 76.00 60.0 0.0 182 2006
6.00 76.00 70.0 0.0 182 2006
6.00 76.00 80.0 0.0 182 2006
6.00 76.00 90.0 0.0 182 2006
6.00 76.00 100.0 0.0 182 2006
6.00 76.00 115.0 0.0 182 2006
6.00 76.00 135.0 0.0 182 2006
6.00 76.00 160.0 0.0 182 2006
6.00 76.00 190.0 0.0 182 2006
6.00 76.00 230.0 0.0 182 2006
6.00 76.00 280.0 0.0 182 2006
6.00 76.00 340.0 0.0 182 2006
6.00 76.00 410.0 0.0 182 2006
6.08 76.00 10.0 0.0 182 2006
6.08 76.00 20.0 0.0 182 2006
6.08 76.00 30.0 0.0 182 2006
6.08 76.00 40.0 0.0 182 2006
6.08 76.00 50.0 0.0 182 2006
6.08 76.00 60.0 0.0 182 2006
6.08 76.00 70.0 0.0 182 2006
6.08 76.00 80.0 0.0 182 2006
6.08 76.00 90.0 0.0 182 2006
6.08 76.00 100.0 0.0 182 2006
6.08 76.00 115.0 0.0 182 2006
6.08 76.00 135.0 0.0 182 2006
6.08 76.00 160.0 0.0 182 2006
6.08 76.00 190.0 0.0 182 2006
6.08 76.00 230.0 0.0 182 2006
6.08 76.00 280.0 0.0 182 2006
6.08 76.00 340.0 0.0 182 2006
6.08 76.00 410.0 0.0 182 2006
6.17 76.00 10.0 0.0 182 2006
6.17 76.00 20.0 0.0 182 2006
6.17 76.00 30.0 0.0 182 2006
6.17 76.00 40.0 0.0 182 2006
6.17 76.00 50.0 0.0 182 2006
6.17 76.00 60.0 0.0 182 2006
6.17 76.00 70.0 0.0 182 2006
6.17 76.00 80.0 0.0 182 2006
6.17 76.00 90.0 0.0 182 2006
6.17 76.00 100.0 0.0 182 2006
6.17 76.00 115.0 0.0 182 2006
6.17 76.00 135.0 0.0 182 2006
6.17 76.00 160.0 0.0 182 2006
6.17 76.00 190.0 0.0 182 2006
6.17 76.00 230.0 0.0 182 2006
6.17 76.00 280.0 0.0 182 2006
6.17 76.00 340.0 0.0 182 2006
6.17 76.00 410.0 0.0 182 2006
6.25 76.00 10.0 0.0 182 2006
6.25 76.00 20.0 0.0 182 2006
6.25 76.00 30.0 0.0 182 2006
6.25 76.00 40.0 0.0 182 2006
6.25 76.00 50.0 0.0 182 2006
6.25 76.00 60.0 0.0 182 2006
6.25 76.00 70.0 0.0 182 2006
6.25 76.00 80.0 0.0 182 2006
6.25 76.00 90.0 0.0 182 2006
6.25 76.00 100.0 0.0 182 2006
6.25 76.00 115.0 0.0 182 2006
6.25 76.00 135.0 0.0 182 2006
6.25 76.00 160.0 0.0 182 2006
6.25 76.00 190.0 0.0 182 2006
6.25 76.00 230.0 0.0 182 2006
6.25 76.00 280.0 0.0 182 2006
6.25 76.00 340.0 0.0 182 2006
